stage,teams,result
europe,nip saw,1
europe,nip vitality,2
europe,team-dignitas vp,1
europe,vitality ence,0
europe,vitality nip,0
europe,vitality saw,2
europe,vitality team-dignitas,1
north-america,100-thieves cloud9,2
north-america,evil-geniuses 100-thieves,1
north-america,evil-geniuses cloud9,1
north-america,evil-geniuses gen-g,1
north-america,evil-geniuses made-in-brazil,2
north-america,evil-geniuses triumph,0
north-america,furia chaos-esports-club,1
north-america,furia gen-g,1
north-america,furia gen-g,1
north-america,furia made-in-brazil,2
north-america,made-in-brazil chaos-esports-club,0
north-america,made-in-brazil cloud9,1
north-america,made-in-brazil gen-g,0
north-america,triumph cloud9,1
america,evil-geniuses furia,1
america,furia liquid,1
america,furia made-in-brazil,2
america,liquid evil-geniuses,2
america,made-in-brazil evil-geniuses,1
america,made-in-brazil evil-geniuses,2
europe,complexity-gaming og,1
europe,complexity-gaming vitality,1
europe,faze complexity-gaming,2
europe,faze ence,1
europe,faze vitality,2
europe,g2-esports ence,1
europe,g2-esports vitality,2
europe,navi complexity-gaming,2
europe,navi g2-esports,1
europe,navi nip,1
europe,navi vitality,2
europe,nip og,1
europe,vitality faze,2
europe,vitality nip,1
cis,1win forze,1
cis,1win spirit,2
cis,beznadejdi forze,2
cis,extremum nemiga,1
cis,extremum spirit,2
cis,forze gladiators,1
cis,hard-legion 1win,2
cis,incas k23,2
cis,k23 hellraisers,1
cis,nemiga forze,1
cis,nemiga forze,2
cis,papapara hard-legion,2
cis,pbi6ajika forze,2
cis,questionmark hellraisers,2
cis,spirit 1win,2
cis,spirit k23,1
cis,winstrike k23,1
cis,winstrike spirit,2
playoff,astralis og,2
playoff,furia made-in-brazil,1
playoff,g2-esports endpoint,1
playoff,g2-esports spirit,1
playoff,gambit furia,1
playoff,gambit heroic,1
playoff,gambit nasr,1
playoff,heroic 9z-team,1
playoff,heroic saw,1
playoff,liquid team-dignitas,2
playoff,og g2-esports,2
playoff,spirit extra-salt,1
playoff,team-dignitas spirit,2
playoff,vitality 9z-team,2
playoff,big navi,2
playoff,big nip,2
playoff,complexity-gaming g2-esports,2
playoff,evil-geniuses nip,2
playoff,g2-esports big,2
playoff,g2-esports faze,1
playoff,gambit complexity-gaming,1
playoff,gambit evil-geniuses,1
playoff,gambit navi,1
playoff,gambit navi,1
playoff,navi faze,1
playoff,navi g2-esports,1
playoff,nip complexity-gaming,2
playoff,nip g2-esports,2
group-stage,astralis nip,2
group-stage,astralis og,1
group-stage,big astralis,1
group-stage,complexity-gaming evil-geniuses,1
group-stage,complexity-gaming g2-esports,1
group-stage,evil-geniuses g2-esports,2
group-stage,faze liquid,1
group-stage,faze liquid,1
group-stage,g2-esports evil-geniuses,2
group-stage,made-in-brazil liquid,2
group-stage,navi faze,1
group-stage,navi faze,1
group-stage,navi made-in-brazil,1
group-stage,nip big,1
group-stage,nip big,2
group-stage,og big,2
group-stage,vitality complexity-gaming,2
group-stage,vitality evil-geniuses,2
group-stage,astralis faze,1
group-stage,astralis g2-esports,1
group-stage,astralis nip,1
group-stage,astralis north,0
group-stage,astralis sk,1
group-stage,faze nip,0
group-stage,faze north,2
group-stage,g2-esports faze,2
group-stage,g2-esports nip,1
group-stage,nip north,1
group-stage,nip sk,2
group-stage,north g2-esports,0
group-stage,north sk,2
group-stage,sk faze,2
group-stage,sk g2-esports,1
playoff,astralis sk,2
standoff,faze north,1
group-stage,astralis nip,2
group-stage,cloud9 astralis,2
group-stage,,
group-stage,,
group-stage,,
group-stage,faze astralis,2
group-stage,,
group-stage,faze navi,1
group-stage,faze navi,1
group-stage,made-in-brazil astralis,2
group-stage,,
group-stage,navi made-in-brazil,1
group-stage,navi nip,1
group-stage,,
