stage,teams,result
play-in,renegades mousesports,2
play-in,spirit cloud9,1
play-in,vp nip,2
play-in,vp renegades,1
play-in,vp wisla-krakow,1
play-in,wisla-krakow complexity-gaming,2
playoff,astralis vp,2
playoff,gambit vp,1
playoff,liquid vp,2
playoff,navi gambit,2
playoff,spirit gambit,2
cis,100pinggods cyber-legacy,2
cis,cyber-legacy bezotca,1
cis,cyber-legacy forze,2
cis,cyber-legacy salamalexsus,1
cis,espada cyber-legacy,1
cis,espada forze,1
cis,espada k23,1
cis,ethereal-ru forze,2
cis,ethereal-ru hellraisers,1
cis,extremum cyber-legacy,2
cis,forze cyber-legacy,1
cis,forze k23,1
cis,forze nemiga,2
cis,gambit ethereal-ru,1
cis,gambit forze,1
cis,gambit hellraisers,1
cis,golden-knights cyber-legacy,2
cis,grond mustang-crew,2
cis,hellraisers bezotca,1
cis,hellraisers cr4zy,1
cis,hellraisers cyber-legacy,2
cis,hellraisers cyber-legacy,1
cis,hellraisers deathly-donkeys,1
cis,invictus-gaming-int cr4zy,1
cis,invictus-gaming-int hellraisers,2
cis,k23 cyber-legacy,1
cis,k23 hellraisers,1
cis,k23 invictus-gaming-int,1
cis,moscow-five-academy grond,2
cis,mustang-crew quantum-bellator,1
cis,navi cyber-legacy,1
cis,navi espada,1
cis,navi forze,2
cis,navi gambit,1
cis,navi k23,1
cis,navi spirit,2
cis,navi vp,2
cis,nemiga ethereal-ru,1
cis,nemiga gambit,2
cis,nemiga hellraisers,1
cis,nemiga winstrike,1
cis,s-gaming cyber-legacy,2
cis,spirit ethereal-ru,1
cis,spirit gambit,1
cis,spirit hellraisers,1
cis,spirit nemiga,2
cis,spirit nemiga,1
cis,spirit winstrike,1
cis,vp cyber-legacy,1
cis,vp espada,1
cis,vp forze,1
cis,vp k23,1
cis,vp navi,1
cis,vp nemiga,1
cis,winstrike gambit,2
cis,winstrike hellraisers,2
europe,budapest-five ago-gaming,1
europe,complexity-gaming fnatic,2
europe,faze big,1
europe,faze og,2
europe,faze og,1
europe,fnatic g2-esports,1
europe,g2-esports complexity-gaming,2
europe,heroic big,2
europe,heroic faze,2
europe,mad-lions nexus,2
europe,og big,1
europe,og fnatic,1
europe,og heroic,2
europe,og pact,1
europe,og pact,1
europe,vitality complexity-gaming,1
europe,vitality faze,2
europe,vitality fnatic,1
europe,x6tence heroic,2
north-america,100-thieves liquid,1
north-america,100-thieves one,1
north-america,100-thieves one,1
north-america,evil-geniuses furia,2
north-america,evil-geniuses furia,2
north-america,evil-geniuses imperium,1
north-america,evil-geniuses new,1
north-america,evil-geniuses one,1
north-america,evil-geniuses rebirth,1
north-america,evil-geniuses triumph,1
north-america,furia 100-thieves,1
north-america,furia imperium,1
north-america,furia liquid,1
north-america,furia new,2
north-america,furia rebirth,1
north-america,furia triumph,1
north-america,liquid chaos-esports-club,1
north-america,liquid mythic,1
north-america,liquid new,1
north-america,liquid one,1
north-america,liquid rbg,1
north-america,new one,2
north-america,one chaos-esports-club,1
north-america,one mythic,1
north-america,one positive-vibes-only,1
north-america,one rbg,1
north-america,one rbg,1
group-stage,cloud9 sk,2
group-stage,faze sk,1
group-stage,heroic sk,1
group-stage,immortals astralis,2
group-stage,immortals g2-esports,1
group-stage,immortals liquid,1
group-stage,immortals tyloo,1
group-stage,mousesports sk,2
group-stage,navi immortals,2
group-stage,sk nip,1
playoff,astralis sk,2
playoff,g2-esports sk,2
playoff,immortals nip,2
playoff,sk nip,2
europe-open,ldlc team-dignitas,1
europe-open,space-soldiers ldlc,2
europe-open,team-dignitas 123ost,1
europe,envyus fnatic,1
europe,envyus mousesports,1
europe,ldlc navi,1
europe,north envyus,2
europe,north ex-outlaws,1
group-stage,cloud9 astralis,1
group-stage,cloud9 sk,1
group-stage,cloud9 the-mongolz,1
group-stage,envyus astralis,2
group-stage,envyus cloud9,1
group-stage,envyus nip,2
group-stage,envyus sk,2
group-stage,envyus the-mongolz,1
group-stage,faze gambit,2
group-stage,faze renegades,1
group-stage,g2-esports faze,2
group-stage,g2-esports gambit,1
group-stage,g2-esports liquid,1
group-stage,g2-esports optic,2
group-stage,g2-esports renegades,2
group-stage,liquid gambit,1
group-stage,liquid renegades,1
group-stage,nip astralis,1
group-stage,nip cloud9,1
group-stage,nip sk,2
group-stage,nip the-mongolz,1
group-stage,optic faze,2
group-stage,optic gambit,1
group-stage,optic liquid,1
group-stage,optic renegades,2
group-stage,renegades gambit,2
group-stage,sk astralis,2
group-stage,sk the-mongolz,1
group-stage,the-mongolz astralis,2
north-america-open,tempo-storm rise-nation,1
north-america-open,tempo-storm rogue,1
north-america,misfits nrg,2
north-america,optic nrg,1
north-america,optic renegades,1
north-america,optic torqued,1
north-america,renegades clg,1
north-america,renegades luminosity,1
north-america,tempo-storm clg,2
playoff,cloud9 gambit,1
playoff,faze cloud9,1
playoff,nip faze,1
playoff,nip sk,1
playoff,optic sk,2
southeast-asia,chiefs the-mongolz,2
southeast-asia,mvp-pk mineski,1
southeast-asia,mvp-pk the-mongolz,2
southeast-asia,recca mvp-pk,2
southeast-asia,the-mongolz sz-absolute,1
playoff,g2-esports clg,1
asia,mvp-pk b.o.o.t-d-s,2
asia,mvp-pk beyond,1
asia,mvp-pk lucid-dream,2
china,5power vg-flash,1
china,the-mongolz 5power,2
china,the-mongolz cyberzen,2
china,vg-flash 5power,2
china,vg-flash cyberzen,1
china,vg-flash cyberzen,1
group-stage,5power vp,2
group-stage,b.o.o.t-d-s gambit,2
group-stage,b.o.o.t-d-s tyloo,2
group-stage,gambit b.o.o.t-d-s,2
group-stage,gambit grayhound-gaming,1
group-stage,grayhound-gaming tyloo,2
group-stage,hellraisers vp,1
group-stage,hellraisers vp,2
group-stage,nrg 5power,1
group-stage,nrg hellraisers,1
oceania,chiefs order,1
oceania,grayhound-gaming order,1
oceania,legacy order,2
oceania,taboo order,2
oceania,tainted-minds order,2
playoff,nrg gambit,1
playoff,tyloo nrg,2
playoff,tyloo vp,1
china-mongolia,the-mongolz hg-clan,1
china-mongolia,the-mongolz lgd,1
china-mongolia,the-mongolz vgrenascence,2
china-mongolia,tyloo vici-gaming,2
china-mongolia,vici-gaming 5power,1
china-mongolia,vici-gaming emp,1
china-mongolia,vici-gaming vgrenascence,1
china-mongolia,vici-gaming wings,1
group-stage,faze optic,1
group-stage,north optic,1
group-stage,optic chiefs,1
group-stage,optic chiefs,1
group-stage,sk astralis,1
group-stage,sk north,1
group-stage,sk vici-gaming,1
group-stage,vici-gaming optic,2
group-stage,vici-gaming renegades,2
playoff,sk faze,1
playoff,sk optic,1
asia,5power the-mongolz,1
asia,mvp-pk flash-gaming,1
asia,mvp-pk signature,1
asia,the-mongolz b.o.o.t-d-s,2
asia,tyloo 5power,1
asia,tyloo b.o.o.t-d-s,1
asia,tyloo mvp-pk,2
europe,astralis gambit,1
europe,astralis hollywood,1
europe,astralis vp,1
europe,g2-esports adwokacik,1
europe,hellraisers gambit,2
europe,nip vp,2
europe,vp g2-esports,1
group-stage,astralis fnatic,1
group-stage,b.o.o.t-d-s nrg,2
group-stage,chiefs fnatic,2
group-stage,cloud9 faze,2
group-stage,cloud9 grayhound-gaming,1
group-stage,cloud9 order,1
group-stage,cloud9 tyloo,2
group-stage,faze grayhound-gaming,1
group-stage,faze order,1
group-stage,faze renegades,2
group-stage,g2-esports fnatic,2
group-stage,g2-esports mousesports,2
group-stage,g2-esports mvp-pk,1
group-stage,g2-esports nrg,1
group-stage,grayhound-gaming sk,1
group-stage,legacy renegades,2
group-stage,mousesports astralis,2
group-stage,mousesports b.o.o.t-d-s,1
group-stage,mousesports mvp-pk,1
group-stage,mvp-pk chiefs,1
group-stage,nrg astralis,2
group-stage,order legacy,1
group-stage,renegades tyloo,2
group-stage,tyloo sk,1
north-america,complexity-gaming optic,1
north-america,liquid ghost-gaming,1
north-america,liquid nrg,2
north-america,luminosity complexity-gaming,2
north-america,nrg complexity-gaming,1
north-america,optic one,1
north-america,torqued nrg,2
oceania,legacy order,2
oceania,order chiefs,2
oceania,order taboo,1
oceania,order tainted-minds,1
playoff,astralis mousesports,1
playoff,faze astralis,1
playoff,faze fnatic,1
playoff,renegades mousesports,2
playoff,tyloo faze,2
china,panda tyloo,2
china,team-aster tyloo,2
china,tyloo vici-gaming,2
china,vici-gaming 5power,1
china,vici-gaming 8easy,1
china,vici-gaming panda,1
china,vici-gaming tyloo,2
east-asia,mvp-pk 2990-esports,1
east-asia,mvp-pk absolute,1
east-asia,mvp-pk im11,1
east-asia,mvp-pk storm-rider,1
europe-open,gambit heroic,1
europe-open,optic gambit,1
europe-open,optic kinguin,1
europe-open,optic nochance,1
europe-open,optic valiance,2
europe,3dmax big,2
europe,3dmax g2-esports,1
europe,3dmax g2-esports,2
europe,big g2-esports,1
europe,g2-esports forze,1
europe,hellraisers big,2
europe,hellraisers forze,1
europe,hellraisers optic,2
europe,north 3dmax,2
europe,north optic,2
europe,optic g2-esports,2
europe,optic g2-esports,2
europe,valiance big,2
group-stage,b.o.o.t-d-s mousesports,2
group-stage,big mvp-pk,1
group-stage,chiefs vici-gaming,1
group-stage,eunited mvp-pk,2
group-stage,faze chiefs,1
group-stage,faze grayhound-gaming,2
group-stage,faze nrg,2
group-stage,fnatic chiefs,1
group-stage,fnatic grayhound-gaming,1
group-stage,fnatic heroic,1
group-stage,fnatic made-in-brazil,2
group-stage,grayhound-gaming made-in-brazil,2
group-stage,heroic grayhound-gaming,2
group-stage,liquid b.o.o.t-d-s,1
group-stage,liquid big,1
group-stage,liquid nip,1
group-stage,mousesports big,2
group-stage,mousesports big,1
group-stage,mvp-pk renegades,2
group-stage,nip eunited,1
group-stage,,
group-stage,,
group-stage,,
group-stage,,
north-america,bad-news-bears luminosity,2
north-america,,
north-america,envyus swole-patrol,2
north-america,,
north-america,,
north-america,eunited luminosity,1
north-america,eunited swole-patrol,2
north-america,ghost-gaming bad-news-bears,1
north-america,ghost-gaming envyus,1
north-america,ghost-gaming eunited,2
north-america,luminosity ghost-gaming,2
north-america,swole-patrol complexity-gaming,1
north-america,,
north-america,win-scrims-not-matches complexity-gaming,2
oceania,astral-influence order,2
oceania,chiefs order,2
oceania,grayhound-gaming order,1
oceania,grayhound-gaming order,1
oceania,order chiefs,1
playoff,liquid fnatic,1
playoff,liquid made-in-brazil,1
playoff,mousesports made-in-brazil,2
playoff,nip fnatic,2
playoff,nrg fnatic,2
group-stage,renegades the-mongolz,2
group-stage,the-mongolz tyloo,1
playoff,chiefs the-mongolz,2
playoff,the-mongolz renegades,1
group-stage,astralis faze,1
group-stage,astralis heroic,1
group-stage,big g2-esports,2
group-stage,big liquid,1
group-stage,big vp,2
group-stage,complexity-gaming g2-esports,2
group-stage,faze spirit,1
group-stage,gambit g2-esports,2
group-stage,gambit mousesports,1
group-stage,gambit nip,1
group-stage,heroic faze,2
group-stage,heroic furia,1
group-stage,mousesports liquid,2
group-stage,navi astralis,1
group-stage,navi renegades,1
group-stage,navi vitality,1
group-stage,nip liquid,1
group-stage,nip vp,2
group-stage,renegades furia,2
group-stage,spirit heroic,2
group-stage,vitality faze,2
group-stage,vitality furia,1
group-stage,vp big,2
group-stage,vp complexity-gaming,1
play-in,bad-news-bears mousesports,2
play-in,complexity-gaming ldlc,1
play-in,complexity-gaming vici-gaming,1
play-in,evil-geniuses faze,2
play-in,evil-geniuses vici-gaming,1
play-in,faze complexity-gaming,1
play-in,ldlc bad-news-bears,1
play-in,made-in-brazil renegades,2
play-in,mousesports evil-geniuses,1
play-in,nip ldlc,1
play-in,nip mousesports,1
play-in,og big,2
play-in,og one,1
play-in,og renegades,2
play-in,one sprout,2
play-in,renegades vitality,2
play-in,spirit made-in-brazil,1
play-in,spirit sprout,1
play-in,spirit vitality,2
play-in,sprout big,2
playoff,astralis vp,1
closed-qualifier,big funplus-phoenix,2
closed-qualifier,big mousesports,2
closed-qualifier,faze og,2
closed-qualifier,funplus-phoenix g2-esports,1
closed-qualifier,furia faze,2
closed-qualifier,furia movistar-riders,2
closed-qualifier,g2-esports faze,1
closed-qualifier,g2-esports mousesports,1
closed-qualifier,g2-esports mousesports,1
closed-qualifier,movistar-riders mousesports,2
closed-qualifier,movistar-riders og,2
group-stage,astralis extra-salt,1
group-stage,astralis funplus-phoenix,2
group-stage,complexity-gaming gambit,2
group-stage,evil-geniuses og,2
group-stage,evil-geniuses spirit,1
group-stage,extra-salt g2-esports,2
group-stage,fnatic vp,2
group-stage,funplus-phoenix complexity-gaming,2
group-stage,funplus-phoenix g2-esports,2
group-stage,gambit astralis,1
group-stage,gambit sprout,1
group-stage,gambit vitality,2
group-stage,heroic evil-geniuses,2
group-stage,heroic imperial-br,1
group-stage,heroic nip,2
group-stage,imperial-br spirit,2
group-stage,nip fnatic,1
group-stage,nip og,2
group-stage,og vp,1
group-stage,sprout complexity-gaming,2
group-stage,vitality complexity-gaming,1
group-stage,vitality g2-esports,2
group-stage,vp nip,1
group-stage,vp spirit,1
open-qualifiers,hyenas mad-lions,2
open-qualifiers,mad-lions 100pinggods,2
play-in,ence movistar-riders,2
play-in,mousesports k23,1
play-in,og trident-clan,1
playoff,evil-geniuses gambit,2
playoff,g2-esports gambit,2
playoff,gambit og,1
playoff,og vitality,1
playoff,vitality vp,1
qualifiers,ago-gaming helsinki-reds,2
qualifiers,deadlyduo-3 team-dignitas,2
qualifiers,entropiq onyx,2
qualifiers,forze 1win,1
qualifiers,forze movistar-riders,2
qualifiers,forze sawo,1
qualifiers,k23 masonic,1
qualifiers,k23 mcon,1
qualifiers,k23 team-dignitas,1
qualifiers,ldlc fiend,2
qualifiers,ldlc mad-lions,1
qualifiers,ldlc movistar-riders,2
qualifiers,nemiga caronte,2
qualifiers,nordavind nemiga,1
qualifiers,onyx tricked,2
qualifiers,sharks nemiga,2
qualifiers,sprout cowana,1
qualifiers,sprout k23,2
qualifiers,sprout singularity,1
qualifiers,tricked extremum,1
qualifiers,tricked nordavind,2
group-stage,epsilon fnatic-academy,1
group-stage,epsilon norse,2
playoff,big epsilon,1
group-stage,pain-gaming uya,1
group-stage,uya heroic,2
group-stage,vici-gaming complexity-gaming,1
group-stage,vici-gaming five-esports-club,1
playoff,heroic vici-gaming,1
playoff,vici-gaming pain-gaming,1
lan-final,uya five-esports-club,2
pro-division,tyloo big-time-regal-gaming,1
pro-division,tyloo bren,1
pro-division,tyloo huat-zai,1
pro-division,tyloo lynn-vision,2
pro-division,tyloo wings-up,2
pro-division,tyloo zigma,1
week-1,7642 uya,2
week-1,recca uya,2
week-1,recca vici-gaming,2
week-1,vici-gaming 7642,1
week-1,vici-gaming uya,1
week-2,five-esports-club uya,2
week-2,motv uya,2
week-2,sz-absolute uya,2
week-3,b.o.o.t-d-s vici-gaming,2
week-3,mvp-project vici-gaming,2
week-3,vici-gaming wings-blue,1
group-stage,dream-eaters ago-gaming,1
group-stage,dream-eaters giants-gaming,1
group-stage,dream-eaters unicorns-of-love,2
group-stage,epsilon ago-gaming,1
group-stage,epsilon vp,2
group-stage,forze ago-gaming,1
group-stage,forze giants-gaming,1
group-stage,forze k23,2
group-stage,giants-gaming nemiga,2
group-stage,movistar-riders epsilon,2
group-stage,movistar-riders k23,2
group-stage,nemiga epsilon,1
group-stage,nemiga owms,1
group-stage,nemiga unicorns-of-love,2
group-stage,owms vp,2
group-stage,pro100 ago-gaming,2
group-stage,pro100 epsilon,1
group-stage,pro100 expert-gaming,1
group-stage,pro100 tricked,2
group-stage,runtime dream-eaters,1
group-stage,tricked dream-eaters,1
group-stage,tricked nemiga,1
group-stage,unicorns-of-love k23,2
group-stage,vp forze,2
group-stage,vp frenchfrogs,2
group-stage,vp pro100,1
playoff,forze vp,1
playoff,frenchfrogs nemiga,2
playoff,k23 unicorns-of-love,2
playoff,nemiga forze,1
playoff,nemiga tricked,1
playoff,sj tricked,2
playoff,unicorns-of-love forze,2
playoff,unicorns-of-love tricked,2
group-stage,chaos dream-eaters,2
group-stage,dream-eaters havu-gaming,2
group-stage,fc-dynamo-brest ldlc,2
group-stage,forze quantum-bellator,1
group-stage,forze tempo-storm,1
group-stage,jordans-money-crew quantum-bellator,2
group-stage,ldlc 3dmax,2
group-stage,ldlc dream-eaters,1
group-stage,ldlc expert-gaming,1
group-stage,ldlc tempo-storm,2
group-stage,nexus dream-eaters,1
group-stage,pact quantum-bellator,1
group-stage,x-kom quantum-bellator,1
playoff,ldlc forze,2
playoff,epsilon copenhagen-flames,1
playoff,epsilon unicorns-of-love,2
playoff,heretics epsilon,2
playoff,unicorns-of-love epsilon,2
playoff,epsilon archangels,2
playoff,epsilon rogue,1
playoff,kinguin archangels,1
playoff,ldlc kinguin,2
playoff,tricked kinguin,2
group-stage,aimcats espada,2
group-stage,espada golden-knights,2
group-stage,ethereal-ru grond,1
group-stage,golden-knights espada,2
group-stage,grond s-gaming,2
playoff,ethereal-ru espada,2
playoff,s-gaming espada,2
group-stage,espada se7en,2
group-stage,espada skade,2
group-stage,heretics espada,2
group-stage,juggernauts dream-eaters,1
group-stage,mith-maple nemiga,2
group-stage,natus-vincere-junior dream-eaters,1
group-stage,unique nemiga,2
playoff,juggernauts nemiga,2
playoff,nemiga invictus-gaming,1
playoff,nemiga juggernauts,2
playoff,nemiga mith-maple,1
group-stage,kinguin squared,2
group-stage,kinguin windigo,2
group-stage,pride windigo,1
group-stage,pride windigo,1
group-stage,squared windigo,2
group-stage,apeks cr4zy,2
group-stage,copenhagen-flames made-in-brazil,1
group-stage,cr4zy hellraisers,2
group-stage,hellraisers nexus,2
group-stage,made-in-brazil copenhagen-flames,2
group-stage,nemiga copenhagen-flames,1
group-stage,nemiga copenhagen-flames,1
group-stage,nexus cr4zy,1
group-stage,nexus hellraisers,2
group-stage,singularity made-in-brazil,2
group-stage,singularity nemiga,2
playoff,fate hellraisers,2
playoff,heretics hellraisers,1
playoff,nemiga winstrike,2
group-stage,dream-eaters skin-ogres,1
group-stage,dream-eaters skin-ogres,2
group-stage,dream-eaters wisla-krakow,2
group-stage,hellraisers axis,1
group-stage,hellraisers axis,1
group-stage,hellraisers copenhagen-flames,1
group-stage,skin-ogres nemiga,1
group-stage,wisla-krakow nemiga,1
last-chance-stage,copenhagen-flames dream-eaters,1
last-chance-stage,dream-eaters skin-ogres,2
playoff,hard-legion hellraisers,2
playoff,hellraisers natus-vincere-junior,1
playoff,k23 copenhagen-flames,2
playoff,cr4zy majesty,1
playoff,speedrunners cr4zy,2
group-stage,flash-gaming mvp-pk,1
group-stage,mvp-pk tot,2
group-stage,red-wolf-gaming vici-gaming,2
group-stage,vici-gaming new4,1
playoff,vici-gaming ex-to-be-or-not-to-be,1
playoff,vici-gaming new4,1
spring-split,baecon-gaming-group giants-gaming,1
spring-split,giants-gaming galactics,1
spring-split,rhyno giants-gaming,2
playoff,avangar quantum-bellator,2
playoff,avangar team-spirit-academy,2
playoff,nemiga quantum-bellator,1
playoff,quantum-bellator chaos-lt,1
playoff,quantum-bellator refuse,2
playoff,team-spirit-academy quantum-bellator,2
playoff,the-gatekeepers quantum-bellator,2
group-stage,hollywood k23,2
group-stage,k23 nemiga,1
group-stage,k23 pro100,2
group-stage,monolith dream-eaters,2
group-stage,nemiga hollywood,1
group-stage,nemiga pro100,2
group-stage,underdogs dream-eaters,2
group-stage,unique dream-eaters,1
playoff,dream-eaters pro100,1
playoff,dream-eaters pro100,2
playoff,dream-eaters unique,2
playoff,k23 unique,2
playoff,pro100 k23,1
playoff,unique pro100,2
playoff,quantum-bellator art-of-cybergame,2
playoff,quantum-bellator spartak,1
playoff,quantum-bellator spray-n-pray,1
playoff,team-1337 quantum-bellator,2
group-stage,epsilon nemiga,2
group-stage,epsilon quantum-bellator,1
group-stage,havu-gaming avangar,2
group-stage,nemiga epsilon,1
group-stage,pro100 havu-gaming,2
group-stage,pro100 tricked,2
group-stage,quantum-bellator pride,2
group-stage,tricked avangar,2
playoff,ago-gaming vega-squadron,2
playoff,godsent valiance,2
playoff,heroic mousesports,2
playoff,heroic pride,1
playoff,heroic sprout,1
playoff,sprout avangar,1
playoff,valiance heroic,2
playoff,vega-squadron mousesports,2
playoff,vega-squadron tricked,1
replacement-matches,epsilon sprout,2
group-stage,ago-gaming epsilon,1
group-stage,epsilon leftout,1
group-stage,red-reserve epsilon,2
group-stage,spirit valiance,2
group-stage,spirit vitality,2
group-stage,spirit x6tence-galaxy,2
group-stage,vitality valiance,1
group-stage,vitality x6tence-galaxy,1
playoff,valiance epsilon,1
playoff,valiance vitality,1
playoff,vitality x6tence-galaxy,1
cis,dream-eaters windigo-academy,1
cis,k23 dream-eaters,1
cis,k23 hollywood,1
cis,k23 unique,1
cis,unique nemiga,1
europe,alternate copenhagen-flames,1
europe,alternate nochance,1
europe,alternate unknown,1
group-stage,3dmax alternate,1
group-stage,ago-gaming epsilon,1
group-stage,epsilon ago-gaming,2
group-stage,epsilon havu-gaming,1
group-stage,forze pro100,1
group-stage,giants-gaming ex-fragsters,2
group-stage,giants-gaming unique,1
group-stage,k23 tricked,2
group-stage,nochance alternate,1
group-stage,pro100 k23,1
group-stage,tricked pro100,1
group-stage,windigo 3dmax,2
group-stage,windigo nochance,1
group-stage,windigo nochance,2
group-stage,x6tence-galaxy giants-gaming,1
cis,dream-eaters k23,2
cis,k23 unique,2
europe,offset alternate,1
group-stage,ex-3dmax pro100,1
group-stage,giants-gaming akopalipsa,2
group-stage,giants-gaming akopalipsa,1
group-stage,k23 nochance,2
group-stage,movistar-riders k23,2
group-stage,movistar-riders k23,1
group-stage,pro100 giants-gaming,2
group-stage,tricked pact,1
group-stage,windigo pact,1
group-stage,windigo tricked,2
group-stage,windigo unique,1
playoff,ex-3dmax tricked,2
playoff,ex-3dmax windigo,1
playoff,tricked giants-gaming,1
playoff,tricked nochance,1
cis,5balls nemiga,2
cis,monolith nemiga,2
cis,unique nemiga,2
group-stage,ago-gaming sharks,1
group-stage,ago-gaming unique,1
group-stage,chaos-esports-club nemiga,1
group-stage,epsilon chaos-esports-club,2
group-stage,epsilon nemiga,1
group-stage,epsilon x-kom,2
group-stage,ldlc sj,2
group-stage,lpsp ldlc,1
group-stage,sharks havu-gaming,2
playoff,ago-gaming chaos-esports-club,1
playoff,ago-gaming copenhagen-flames,2
group-stage,ago-gaming kinguin,1
group-stage,alientech windigo,2
group-stage,godsent alientech,1
group-stage,godsent windigo,2
group-stage,kinguin lpsp,2
group-stage,kinguin sj,1
group-stage,ldlc godsent,2
group-stage,ldlc windigo,2
playoff,ago-gaming godsent,1
playoff,windigo ago-gaming,2
playoff,windigo lpsp,1
europe,chaos-esports-club k23,1
europe,k23 nemiga,2
europe,nemiga windigo-academy,2
europe,windigo-academy nemiga,1
group-stage,avangar chaos-esports-club,1
group-stage,avangar havu-gaming,1
group-stage,avangar nochance,1
group-stage,avangar uruguay,1
group-stage,avangar windigo,2
group-stage,avangar x-kom,1
group-stage,avangar x6tence-galaxy,1
group-stage,chaos-esports-club pro100,1
group-stage,havu-gaming pro100,2
group-stage,havu-gaming windigo,2
group-stage,pro100 avangar,2
group-stage,pro100 nochance,2
group-stage,pro100 x6tence-galaxy,2
group-stage,red-reserve pro100,1
group-stage,red-reserve windigo,2
group-stage,windigo chaos-esports-club,1
group-stage,windigo nochance,1
group-stage,windigo pro100,1
group-stage,windigo x6tence-galaxy,2
group-stage,winstrike avangar,1
group-stage,winstrike pro100,1
group-stage,winstrike windigo,2
group-stage,x-kom pro100,2
group-stage,x-kom windigo,1
playoff,avangar nochance,1
playoff,avangar winstrike,1
playoff,avangar winstrike,1
playoff,windigo nochance,2
playoff,winstrike windigo,1
europe,dream-eaters nemiga,2
europe,nemiga dream-eaters,2
europe,pact nemiga,2
europe,tricked dream-eaters,1
group-stage,ago-gaming nemiga,2
group-stage,ago-gaming nordavind,1
group-stage,ago-gaming tricked,2
group-stage,alternate tricked,2
group-stage,alternate winstrike,1
group-stage,chaos-esports-club ago-gaming,2
group-stage,dream-eaters ago-gaming,2
group-stage,dream-eaters chaos-esports-club,1
group-stage,dream-eaters sj,1
group-stage,epsilon alternate,1
group-stage,epsilon gamerlegion,2
group-stage,epsilon vp,1
group-stage,epsilon windigo,2
group-stage,nemiga chaos-esports-club,2
group-stage,nemiga sharks,1
group-stage,nochance alternate,1
group-stage,nochance epsilon,2
group-stage,nochance vp,1
group-stage,sharks alternate,2
group-stage,sharks dream-eaters,2
group-stage,vp nemiga,2
group-stage,vp x-kom,1
group-stage,windigo gamerlegion,2
group-stage,windigo nochance,1
group-stage,windigo nordavind,1
group-stage,winstrike sharks,2
playoff,ago-gaming dream-eaters,2
playoff,ago-gaming nemiga,2
playoff,dream-eaters gamerlegion,2
playoff,dream-eaters windigo,1
playoff,dream-eaters windigo,2
playoff,gamerlegion epsilon,1
playoff,gamerlegion windigo,1
playoff,nochance nemiga,1
playoff,nochance windigo,2
playoff,tricked epsilon,1
playoff,tricked nochance,2
playoff,windigo nemiga,1
playoff,windigo tricked,1
group-stage,ad-hoc ldlc,1
group-stage,alternate the-final-tribe,1
group-stage,alternate winstrike,1
group-stage,dream-eaters alternate,1
group-stage,havu-gaming dream-eaters,1
group-stage,izako-boars gambit-youngsters,2
group-stage,ldlc dream-eaters,2
group-stage,ldlc vexed,2
group-stage,unique alternate,2
group-stage,vexed dream-eaters,2
group-stage,vexed gambit-youngsters,2
group-stage,winstrike gambit-youngsters,2
group-stage,youngsters ldlc,2
playoff,alternate havu-gaming,2
playoff,dream-eaters havu-gaming,2
playoff,dream-eaters heretics,2
playoff,dream-eaters illuminar-gaming,1
playoff,gambit-youngsters havu-gaming,1
playoff,gambit-youngsters illuminar-gaming,2
playoff,unique alternate,1
playoff,unique gambit-youngsters,1
europe,izako-boars ldlc,1
europe,ldlc sj,2
group-stage,havu-gaming ago-gaming,1
group-stage,japaleno ago-gaming,1
group-stage,unique ago-gaming,1
europe,espada skade,2
europe,extremum espada,2
europe,izako-boars espada,1
group-stage,2115 pro100,1
group-stage,ago-gaming havu-gaming,1
group-stage,havu-gaming nemiga,1
group-stage,hellraisers nemiga,1
group-stage,hellraisers pact,1
group-stage,hellraisers sj,2
group-stage,nemiga secret,2
group-stage,nordavind pro100,1
group-stage,pact ago-gaming,2
group-stage,skade ago-gaming,1
group-stage,unique hellraisers,2
group-stage,unique pro100,1
group-stage,winstrike ago-gaming,2
playoff,ago-gaming wisla-krakow,2
playoff,havu-gaming ago-gaming,2
playoff,nordavind ago-gaming,2
playoff,pact ago-gaming,2
playoff,skade ago-gaming,2
playoff,winstrike ago-gaming,2
group-stage,ago-gaming nordavind,2
group-stage,ago-gaming secret,2
group-stage,espada endpoint,1
group-stage,espada hard-legion,2
group-stage,espada smash-esports,1
group-stage,espada winstrike,2
group-stage,gambit-youngsters endpoint,1
group-stage,gambit-youngsters heretics,2
group-stage,gambit-youngsters nordavind,1
group-stage,gambit-youngsters smash-esports,1
group-stage,hard-legion japaleno,2
group-stage,hard-legion nemiga,2
group-stage,japaleno sprout,2
group-stage,nemiga hard-legion,2
group-stage,nemiga japaleno,1
group-stage,nemiga skade,2
group-stage,pro100 ago-gaming,1
group-stage,pro100 espada,2
group-stage,pro100 nemiga,2
group-stage,secret hard-legion,1
group-stage,sprout heretics,1
group-stage,sprout pro100,1
playoff,big winstrike,1
playoff,,
playoff,,
playoff,,
playoff,gambit-youngsters heroic,2
playoff,,
playoff,heroic nordavind,1
playoff,heroic secret,1
playoff,,
playoff,,
closed-qualifier,,
closed-qualifier,,
closed-qualifier,ldlc hard4u,2
closed-qualifier,natus-vincere-junior ldlc,1
group-stage,agf espada,1
group-stage,agf hard-legion,2
group-stage,alternate honoris,1
group-stage,alternate skade,1
group-stage,apeks nemiga,1
group-stage,espada hard4u,1
group-stage,espada pact,2
group-stage,fate nemiga,2
group-stage,gambit-youngsters espada,1
